Date		      Time		User1	User2		Message   
2012-12-25	    20:12:49	    1	    a	    1ak chamsg	    
2012-12-25	    20:12:18	    a	    1	    a1aru k cha vana na kyamsg	    
2012-12-29	    18:12:32	    admin	    a	    hy	    
2012-12-29	    18:12:46	    a	    admin	    k 6	    
2012-12-29	    19:12:30	    a	    ram	    oi k cha	    
2012-12-29	    19:12:39	    ram	    a	    thik cha ta	    
2012-12-29	    19:12:19	    admin	    a	    hy	    
2012-12-29	    19:12:13	    ram	    a	    hy	    
2012-12-29	    19:12:35	    a	    admin	    heo	    
2012-12-29	    19:12:14	    admin	    a	    oe k gardai	    
2012-12-29	    19:12:19	    a	    ram	    k 6	    
2012-12-29	    19:12:21	    a	    ram	    k gardai ho	    
2012-12-30	    15:12:25	    admin	    a	    hy k 6	    
2012-12-30	    15:12:33	    a	    admin	    thikai cha saathi	    
2012-12-30	    15:12:37	    a	    admin	    ranmaya	    
2012-12-30	    15:12:43	    admin	    a	    oho ranmaya	    
2012-12-30	    16:12:24	    a	    admin	    hy	    
2012-12-30	    16:12:27	    1	    a	    hy	    
2012-12-30	    16:12:35	    a	    1	    ji	    
2012-12-30	    16:12:37	    a	    1	    k6	    
2012-12-30	    16:12:43	    1	    a	    thk 6	    
2012-12-30	    16:12:02	    ram	    a	    hy	    
2012-12-30	    16:12:30	    a	    1	    hy	    
2012-12-30	    16:12:36	    1	    a	    helo	    
2012-12-30	    16:12:58	    ram	    a	    k cha a	    
2012-12-30	    16:12:26	    a	    1	    hy	    
2012-12-30	    16:12:33	    1	    a	    k 6	    
2012-12-30	    16:12:39	    ram	    a	    hy	    
2012-12-30	    16:12:02	    a	    1	    hy	    
2012-12-30	    16:12:12	    1	    a	    hi	    
2012-12-30	    16:12:17	    admin	    a	    k6	    
2012-12-30	    16:12:05	    a	    admin	    h	    
2012-12-30	    16:12:11	    a	    admin	    k gardia ho?	    
2012-12-30	    17:12:54	    a	    1	    hy 1	    
2012-12-30	    17:12:53	    a	    1	    hy	    
2012-12-30	    17:12:26	    1	    a	    hy	    
2012-12-30	    17:12:50	    1	    a	    hy	    
2012-12-30	    17:12:31	    1	    a	    hy	    
2012-12-30	    17:12:34	    1	    a	    hy	    
2012-12-30	    18:12:19	    a	    1	    hy 1 k cha	    
2012-12-30	    18:12:27	    ram	    a	    oe k cha	    
2012-12-30	    18:12:42	    1	    a	    khana khayau?	    
2012-12-30	    18:12:03	    a	    1	    oe k cha huh 1	    
2012-12-30	    18:12:57	    ram	    a	    k gardai chau a timi?	    
2012-12-30	    19:12:33	    a	    1	    hy	    
2012-12-30	    19:12:39	    a	    admin	    k cha	    
2013-01-01	    11:01:30	    a	    1	    hy	    
2013-01-01	    11:01:35	    1	    a	    k 6	    
2013-01-01	    11:01:09	    ram	    a	    k7	    
2013-01-01	    11:01:18	    a	    1	    oi	    
2013-01-01	    19:01:42	    1	    a	    hy	    
2013-01-01	    19:01:48	    1	    a	    hy	    
2013-01-01	    19:01:50	    1	    a	    k n	    
2013-01-01	    21:01:50	    1	    a	    hy	    
2013-01-02	    12:01:04	    a	    1	    hy	    
2013-01-02	    12:01:35	    1	    a	    hy	    
2013-01-02	    12:01:26	    1	    a	    hy	    
2013-01-02	    12:01:37	    a	    1	    wats up 1 main	    
2013-01-02	    13:01:12	    admin	    a	    hy	    
2013-01-02	    13:01:24	    a	    1	    k 6	    
2013-01-02	    13:01:11	    admin	    a	    hy a project sakiyo?	    
2013-01-02	    13:01:43	    a	    admin	    kaha sakinu ni yaarrrrrrr	    
2013-01-02	    13:01:53	    a	    1	    oe taile ta sakayis hola ni prjt	    
